## Thu Oct 20 12:33:49 2022
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_clhlot17 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_clhlot17 --override -m diamond --dmnd_ignore_warnings -i /emapper_web_jobs/emapper_jobs/user_data/MM_clhlot17/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
33931E_Pfluorescens55_04971	321846.PS417_24310	1.76e-72	223.0	COG0666@1|root,COG0666@2|Bacteria,1N0BQ@1224|Proteobacteria,1SAXW@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	ankyrin repeat	-	-	-	ko:K06867	-	-	-	-	ko00000	-	-	-	Ank_2,Ank_4,Ank_5
katB	321846.PS417_24315	0.0	1028.0	COG0753@1|root,COG0753@2|Bacteria,1MUXZ@1224|Proteobacteria,1RNE7@1236|Gammaproteobacteria	1236|Gammaproteobacteria	C	serves to protect cells from the toxic effects of hydrogen peroxide	katB	GO:0000302,GO:0003674,GO:0003824,GO:0004096,GO:0004601,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006950,GO:0006979,GO:0008150,GO:0008152,GO:0009056,GO:0009636,GO:0009987,GO:0010035,GO:0016209,GO:0016491,GO:0016684,GO:0016999,GO:0017001,GO:0017144,GO:0020037,GO:0042221,GO:0042493,GO:0042542,GO:0042737,GO:0042743,GO:0042744,GO:0044237,GO:0044248,GO:0044424,GO:0044464,GO:0046677,GO:0046906,GO:0048037,GO:0050896,GO:0051186,GO:0051187,GO:0051716,GO:0055114,GO:0070887,GO:0072593,GO:0097159,GO:0097237,GO:0098754,GO:0098869,GO:1901363,GO:1901700,GO:1990748	1.11.1.6	ko:K03781	ko00380,ko00630,ko01110,ko01130,ko01200,ko04011,ko04016,ko04068,ko04146,ko04211,ko04212,ko04213,ko05014,map00380,map00630,map01110,map01130,map01200,map04011,map04016,map04068,map04146,map04211,map04212,map04213,map05014	M00532	R00009,R00602,R02670	RC00034,RC00767,RC02141,RC02755	ko00000,ko00001,ko00002,ko01000	-	-	-	Catalase,Catalase-rel
mscL	321846.PS417_24320	1.34e-89	263.0	COG1970@1|root,COG1970@2|Bacteria,1RHG8@1224|Proteobacteria,1S3PD@1236|Gammaproteobacteria	1236|Gammaproteobacteria	M	Channel that opens in response to stretch forces in the membrane lipid bilayer. May participate in the regulation of osmotic pressure changes within the cell	mscL	GO:0003674,GO:0005215,GO:0005216,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006884,GO:0008150,GO:0008361,GO:0008381,GO:0009987,GO:0009992,GO:0015075,GO:0015267,GO:0015318,GO:0016020,GO:0016021,GO:0016043,GO:0019725,GO:0022803,GO:0022836,GO:0022838,GO:0022857,GO:0030104,GO:0031224,GO:0031226,GO:0032535,GO:0034220,GO:0042592,GO:0042802,GO:0044425,GO:0044459,GO:0044464,GO:0048878,GO:0051179,GO:0051234,GO:0055082,GO:0055085,GO:0065007,GO:0065008,GO:0071840,GO:0071944,GO:0090066	-	ko:K03282	-	-	-	-	ko00000,ko02000	1.A.22.1	-	-	MscL
fpr_2	321846.PS417_24325	9.06e-185	513.0	COG0543@1|root,COG0543@2|Bacteria,1QTSK@1224|Proteobacteria,1T1FU@1236|Gammaproteobacteria	1236|Gammaproteobacteria	CH	COG1018 Flavodoxin reductases (ferredoxin-NADPH reductases) family 1	-	-	1.18.1.2,1.19.1.1	ko:K00528	-	-	R10159	-	ko00000,ko01000	-	-	-	FAD_binding_6,NAD_binding_1
anoR	321846.PS417_24330	1.29e-173	483.0	COG2197@1|root,COG2197@2|Bacteria,1R4TP@1224|Proteobacteria,1RR98@1236|Gammaproteobacteria	1236|Gammaproteobacteria	K	Transcriptional regulator	sdiA	GO:0000976,GO:0001067,GO:0001130,GO:0001216,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0005488,GO:0005575,GO:0006355,GO:0008150,GO:0009889,GO:0009891,GO:0009893,GO:0010468,GO:0010556,GO:0010557,GO:0010564,GO:0010604,GO:0010628,GO:0019219,GO:0019222,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031334,GO:0032465,GO:0032467,GO:0032991,GO:0032993,GO:0043254,GO:0043565,GO:0044087,GO:0044089,GO:0044212,GO:0045787,GO:0045893,GO:0045935,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051128,GO:0051130,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0051302,GO:0051726,GO:0051781,GO:0060255,GO:0065007,GO:0080090,GO:0090068,GO:0097159,GO:0140110,GO:1901363,GO:1902680,GO:1903506,GO:1903508,GO:1990837,GO:2000112,GO:2000142,GO:2000144,GO:2001141	-	ko:K07782,ko:K15852,ko:K19666,ko:K19734	ko02020,ko02024,ko02026,map02020,map02024,map02026	-	-	-	ko00000,ko00001,ko03000	-	-	-	Autoind_bind,GerE
rlmG	321846.PS417_24335	7.05e-270	738.0	COG2813@1|root,COG2813@2|Bacteria,1NEMR@1224|Proteobacteria,1RMXE@1236|Gammaproteobacteria	1236|Gammaproteobacteria	J	Specifically methylates the guanine in position 1835 (m2G1835) of 23S rRNA	rlmG	GO:0000154,GO:0001510,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008170,GO:0008173,GO:0008649,GO:0008757,GO:0008990,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016435,GO:0016740,GO:0016741,GO:0022613,GO:0031167,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0043412,GO:0043414,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0052916,GO:0070475,GO:0071704,GO:0071840,GO:0090304,GO:0140098,GO:0140102,GO:1901360	2.1.1.172,2.1.1.174	ko:K00564,ko:K11391	-	-	R07234	RC00003	ko00000,ko01000,ko03009	-	-	-	MTS
33931E_Pfluorescens55_04977	216595.PFLU_5344	5.8e-32	111.0	2DR70@1|root,33AGH@2|Bacteria,1NGXN@1224|Proteobacteria,1SGH7@1236|Gammaproteobacteria,1YQY0@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	S	Protein of unknown function (DUF2474)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2474
cydB	321846.PS417_24345	1.94e-245	673.0	COG1294@1|root,COG1294@2|Bacteria,1MURP@1224|Proteobacteria,1RN0N@1236|Gammaproteobacteria	1236|Gammaproteobacteria	C	oxidase subunit	cioB	-	1.10.3.14	ko:K00426	ko00190,ko01100,ko02020,map00190,map01100,map02020	M00153	R11325	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.4.3	-	-	Cyt_bd_oxida_II
cydA	321846.PS417_24350	0.0	974.0	COG1271@1|root,COG1271@2|Bacteria,1MV60@1224|Proteobacteria,1RN2U@1236|Gammaproteobacteria	1236|Gammaproteobacteria	C	oxidase, subunit	cioA	-	1.10.3.14	ko:K00425	ko00190,ko01100,ko02020,map00190,map01100,map02020	M00153	R11325	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.4.3	-	iJN746.PP_4651	Cyt_bd_oxida_I
entS	321846.PS417_24355	4.34e-281	770.0	COG0477@1|root,COG0477@2|Bacteria,1MXZ3@1224|Proteobacteria,1RV34@1236|Gammaproteobacteria	1236|Gammaproteobacteria	EGP	Major facilitator superfamily	-	-	-	-	-	-	-	-	-	-	-	-	MFS_3
yagR	321846.PS417_24360	0.0	1427.0	COG1529@1|root,COG1529@2|Bacteria,1MUEA@1224|Proteobacteria,1RN40@1236|Gammaproteobacteria	1236|Gammaproteobacteria	C	Xanthine dehydrogenase	yagR	-	1.17.1.4	ko:K11177	ko00230,ko01100,ko01120,map00230,map01100,map01120	M00546	R01768,R02103	RC00143	ko00000,ko00001,ko00002,ko01000	-	-	-	Ald_Xan_dh_C,Ald_Xan_dh_C2
yagS	321846.PS417_24365	2.32e-234	645.0	COG1319@1|root,COG1319@2|Bacteria,1MVJS@1224|Proteobacteria,1RY6A@1236|Gammaproteobacteria	1236|Gammaproteobacteria	C	Aerobic-type carbon monoxide dehydrogenase, middle subunit CoxM	yagS	-	1.17.1.4	ko:K11178	ko00230,ko01100,ko01120,map00230,map01100,map01120	M00546	R01768,R02103	RC00143	ko00000,ko00001,ko00002,ko01000	-	-	-	CO_deh_flav_C,FAD_binding_5
yagT	321846.PS417_24370	1.16e-122	349.0	COG2080@1|root,COG2080@2|Bacteria,1RDAS@1224|Proteobacteria	1224|Proteobacteria	C	Aerobic-type carbon monoxide dehydrogenase small subunit CoxS	yagT	-	1.2.5.3,1.3.99.8	ko:K03518,ko:K13483,ko:K16879	ko00230,ko00365,ko01100,ko01120,map00230,map00365,map01100,map01120	M00546	R01768,R02103,R02987,R11168	RC00143,RC01856,RC02800	ko00000,ko00001,ko00002,ko01000	-	-	-	Fer2,Fer2_2
33931E_Pfluorescens55_04984	321846.PS417_24375	4.94e-103	298.0	2CIHS@1|root,32QHH@2|Bacteria,1RGH3@1224|Proteobacteria,1S649@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Domain of unknown function (DUF4879)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4879
adeQ	321846.PS417_24380	2.82e-282	775.0	COG2252@1|root,COG2252@2|Bacteria,1MUV0@1224|Proteobacteria,1RMBE@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	permease	purP	-	-	ko:K06901	-	-	-	-	ko00000,ko02000	2.A.1.40	-	-	Xan_ur_permease
trmA	321846.PS417_24385	2.97e-268	733.0	COG2265@1|root,COG2265@2|Bacteria,1MY45@1224|Proteobacteria,1RN2B@1236|Gammaproteobacteria	1236|Gammaproteobacteria	J	Dual-specificity methyltransferase that catalyzes the formation of 5-methyluridine at position 54 (m5U54) in all tRNAs, and that of position 341 (m5U341) in tmRNA (transfer-mRNA)	trmA	GO:0000049,GO:0001510,GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0008168,GO:0008173,GO:0008175,GO:0008757,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016300,GO:0016740,GO:0016741,GO:0019843,GO:0030488,GO:0030696,GO:0030697,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0043414,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0097159,GO:0140098,GO:0140101,GO:1901360,GO:1901363	2.1.1.35	ko:K00557	-	-	-	-	ko00000,ko01000,ko03016	-	-	-	tRNA_U5-meth_tr
tolC_2	321846.PS417_24390	4.37e-301	823.0	COG1538@1|root,COG1538@2|Bacteria,1Q498@1224|Proteobacteria,1RS7N@1236|Gammaproteobacteria	1236|Gammaproteobacteria	MU	type I secretion outer membrane protein, TolC	hasF	-	-	ko:K12538	-	M00328	-	-	ko00000,ko00002,ko02000,ko02044	1.B.17.1	-	-	OEP
prsE	321846.PS417_24395	1.27e-306	837.0	COG0845@1|root,COG0845@2|Bacteria,1MUI8@1224|Proteobacteria,1RNK4@1236|Gammaproteobacteria	1236|Gammaproteobacteria	M	Type I secretion membrane fusion protein, HlyD	hasE	-	-	ko:K02022,ko:K12537	-	M00328	-	-	ko00000,ko00002,ko02000,ko02044	8.A.1	-	-	Biotin_lipoyl_2,HlyD,HlyD_3
prsD	321846.PS417_24400	0.0	1098.0	COG4618@1|root,COG4618@2|Bacteria,1NTI5@1224|Proteobacteria,1T1HR@1236|Gammaproteobacteria	1236|Gammaproteobacteria	V	Type I secretion system	hasD	-	-	ko:K06148,ko:K12536	ko02010,map02010	M00328	-	-	ko00000,ko00001,ko00002,ko02000,ko02044	3.A.1,3.A.1.110	-	-	ABC_membrane,ABC_tran
hasA	321846.PS417_24405	2.06e-137	389.0	2D9JQ@1|root,32TTE@2|Bacteria,1N601@1224|Proteobacteria,1SBDG@1236|Gammaproteobacteria	1236|Gammaproteobacteria	C	Hemophore HasA	hasA	-	-	ko:K12545	-	-	-	-	ko00000,ko02000	1.B.14.5	-	-	HasA
hemR	321846.PS417_24410	0.0	1723.0	COG1629@1|root,COG4771@2|Bacteria,1MX42@1224|Proteobacteria,1RXXX@1236|Gammaproteobacteria	1236|Gammaproteobacteria	P	Secretin and TonB N terminus short domain	hasR	-	-	ko:K16152	-	-	-	-	ko00000,ko02000	1.B.14.7.1	-	-	Plug,STN,TonB_dep_Rec
33931E_Pfluorescens55_04992	321846.PS417_24415	2.06e-234	645.0	COG3712@1|root,COG3712@2|Bacteria,1RHFD@1224|Proteobacteria,1S5NH@1236|Gammaproteobacteria	1236|Gammaproteobacteria	PT	Anti-FecI sigma factor, FecR	hasS	-	-	ko:K07165	-	-	-	-	ko00000	-	-	-	DUF4880,DUF4974,FecR
fecI_9	321846.PS417_24420	2.41e-113	326.0	COG1595@1|root,COG1595@2|Bacteria,1N1F5@1224|Proteobacteria,1SAR2@1236|Gammaproteobacteria	1236|Gammaproteobacteria	K	Belongs to the sigma-70 factor family. ECF subfamily	hasI	-	-	ko:K03088	-	-	-	-	ko00000,ko03021	-	-	-	Sigma70_r2,Sigma70_r4_2
aroQ_2	321846.PS417_24430	2.26e-104	301.0	COG0757@1|root,COG0757@2|Bacteria,1RDDT@1224|Proteobacteria,1S3PX@1236|Gammaproteobacteria	1236|Gammaproteobacteria	E	Catalyzes a trans-dehydration via an enolate intermediate	aroQ	-	4.2.1.10	ko:K03786	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00022	R03084	RC00848	ko00000,ko00001,ko00002,ko01000	-	-	-	DHquinase_II
aroE_2	321846.PS417_24435	1.63e-199	553.0	COG0169@1|root,COG0169@2|Bacteria,1Q95E@1224|Proteobacteria,1S38H@1236|Gammaproteobacteria	1236|Gammaproteobacteria	E	Involved in the biosynthesis of the chorismate, which leads to the biosynthesis of aromatic amino acids. Catalyzes the reversible NADPH linked reduction of 3-dehydroshikimate (DHSA) to yield shikimate (SA)	aroE2	-	1.1.1.25	ko:K00014	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00022	R02413	RC00206	ko00000,ko00001,ko00002,ko01000	-	-	-	Sacchrp_dh_NADP,Shikimate_DH,Shikimate_dh_N
nicS_2	321846.PS417_24440	8.72e-147	414.0	COG1309@1|root,COG1309@2|Bacteria,1RFMW@1224|Proteobacteria,1SYSP@1236|Gammaproteobacteria	1236|Gammaproteobacteria	K	Transcriptional regulator	-	-	-	-	-	-	-	-	-	-	-	-	TetR_N
33931E_Pfluorescens55_04997	321846.PS417_24445	0.0	1266.0	COG1082@1|root,COG3185@1|root,COG1082@2|Bacteria,COG3185@2|Bacteria,1MUVZ@1224|Proteobacteria,1RN2Z@1236|Gammaproteobacteria	1236|Gammaproteobacteria	E	4-hydroxyphenylpyruvate dioxygenase	vllY	-	1.13.11.27	ko:K00457	ko00130,ko00350,ko00360,ko01100,map00130,map00350,map00360,map01100	M00044	R01372,R02521	RC00505,RC00738	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	-	AP_endonuc_2,Glyoxalase,Glyoxalase_5
exuT_2	321846.PS417_24450	0.0	896.0	COG2271@1|root,COG2271@2|Bacteria,1MV04@1224|Proteobacteria,1RP70@1236|Gammaproteobacteria	1236|Gammaproteobacteria	G	Major facilitator superfamily	-	-	-	ko:K07783,ko:K08191	ko02020,map02020	-	-	-	ko00000,ko00001,ko02000	2.A.1.14.2,2.A.1.4.4,2.A.1.4.6	-	-	MFS_1
ribN	321846.PS417_24455	1.25e-208	577.0	COG0697@1|root,COG0697@2|Bacteria,1RDMA@1224|Proteobacteria,1S4HK@1236|Gammaproteobacteria	1236|Gammaproteobacteria	EG	COG0697 Permeases of the drug metabolite transporter (DMT) superfamily	-	-	-	-	-	-	-	-	-	-	-	-	EamA
33931E_Pfluorescens55_05000	216595.PFLU_5370	1.11e-85	253.0	2AM4Y@1|root,31BZ7@2|Bacteria,1Q7XT@1224|Proteobacteria,1RV6I@1236|Gammaproteobacteria,1YTI1@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
33931E_Pfluorescens55_05001	321846.PS417_24465	9.96e-212	585.0	COG2321@1|root,COG2321@2|Bacteria,1MU4U@1224|Proteobacteria,1RMF8@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	zinc metallopeptidase	ypfJ	-	-	ko:K07054	-	-	-	-	ko00000	-	-	-	Zn_peptidase
33931E_Pfluorescens55_05002	321846.PS417_24470	1.35e-239	657.0	COG1073@1|root,COG1073@2|Bacteria,1MY4W@1224|Proteobacteria,1S0AU@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	alpha beta	-	-	-	-	-	-	-	-	-	-	-	-	-
gph_2	321846.PS417_24475	7.6e-139	392.0	COG0546@1|root,COG0546@2|Bacteria,1RHAA@1224|Proteobacteria,1S7HQ@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Hydrolase	pgp	-	-	-	-	-	-	-	-	-	-	-	HAD_2,Hydrolase
tesB	321846.PS417_24480	1.37e-215	594.0	COG1946@1|root,COG1946@2|Bacteria,1MV9R@1224|Proteobacteria,1RPFI@1236|Gammaproteobacteria	1236|Gammaproteobacteria	I	Acyl-CoA thioesterase	tesB	GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006139,GO:0006163,GO:0006629,GO:0006631,GO:0006637,GO:0006725,GO:0006732,GO:0006753,GO:0006790,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009062,GO:0009117,GO:0009150,GO:0009259,GO:0009987,GO:0016042,GO:0016054,GO:0016289,GO:0016787,GO:0016788,GO:0016790,GO:0019637,GO:0019693,GO:0019752,GO:0032787,GO:0033865,GO:0033875,GO:0034032,GO:0034641,GO:0035383,GO:0042802,GO:0043436,GO:0043603,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044255,GO:0044281,GO:0044282,GO:0044424,GO:0044444,GO:0044464,GO:0046395,GO:0046483,GO:0047617,GO:0051186,GO:0055086,GO:0071704,GO:0072329,GO:0072521,GO:1901135,GO:1901360,GO:1901564,GO:1901575	-	ko:K10805	ko01040,map01040	-	-	-	ko00000,ko00001,ko01000,ko01004	-	-	iAF1260.b0452,iB21_1397.B21_00408,iBWG_1329.BWG_0334,iEC55989_1330.EC55989_0466,iECBD_1354.ECBD_3203,iECB_1328.ECB_00404,iECDH10B_1368.ECDH10B_0408,iECDH1ME8569_1439.ECDH1ME8569_0437,iECD_1391.ECD_00404,iECH74115_1262.ECH74115_0541,iECIAI1_1343.ECIAI1_0456,iECIAI39_1322.ECIAI39_0221,iECO103_1326.ECO103_0429,iECO111_1330.ECO111_0485,iECO26_1355.ECO26_0487,iECSE_1348.ECSE_0478,iECSP_1301.ECSP_0520,iECUMN_1333.ECUMN_0492,iECW_1372.ECW_m0524,iECs_1301.ECs0506,iEKO11_1354.EKO11_3394,iETEC_1333.ETEC_0505,iEcDH1_1363.EcDH1_3157,iEcE24377_1341.EcE24377A_0488,iEcHS_1320.EcHS_A0529,iEcSMS35_1347.EcSMS35_0496,iEcolC_1368.EcolC_3163,iG2583_1286.G2583_0564,iJO1366.b0452,iSSON_1240.SSON_0440,iUMNK88_1353.UMNK88_505,iWFL_1372.ECW_m0524,iY75_1357.Y75_RS02335,iZ_1308.Z0564,ic_1306.c0571	4HBT_3,Acyl_CoA_thio
33931E_Pfluorescens55_05005	321846.PS417_24485	4.8e-139	392.0	COG1670@1|root,COG1670@2|Bacteria,1RCX2@1224|Proteobacteria,1S91P@1236|Gammaproteobacteria	1236|Gammaproteobacteria	J	COG1670 Acetyltransferases, including N-acetylases of ribosomal proteins	-	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_3
33931E_Pfluorescens55_05006	321846.PS417_24490	1.06e-232	639.0	COG0123@1|root,COG0123@2|Bacteria,1MU7P@1224|Proteobacteria,1RPVZ@1236|Gammaproteobacteria	1236|Gammaproteobacteria	BQ	COG0123 Deacetylases, including yeast histone deacetylase and acetoin utilization protein	-	-	-	-	-	-	-	-	-	-	-	-	Hist_deacetyl
33931E_Pfluorescens55_05007	321846.PS417_24495	1.3e-305	832.0	COG2081@1|root,COG2081@2|Bacteria,1MUGC@1224|Proteobacteria,1RRAS@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	NADFAD-utilizing dehydrogenase	-	-	-	ko:K07007	-	-	-	-	ko00000	-	-	-	HI0933_like
rhlE_2	321846.PS417_24500	4.11e-309	843.0	COG0513@1|root,COG0513@2|Bacteria,1MU49@1224|Proteobacteria,1RMWA@1236|Gammaproteobacteria	1236|Gammaproteobacteria	JKL	DEAD-box RNA helicase involved in	rhlE	-	3.6.4.13	ko:K11927	ko03018,map03018	-	-	-	ko00000,ko00001,ko01000,ko03019	-	-	-	DEAD,Helicase_C
yedA_2	321846.PS417_24505	4.7e-207	573.0	COG0697@1|root,COG0697@2|Bacteria,1MXX1@1224|Proteobacteria,1RPRZ@1236|Gammaproteobacteria	1236|Gammaproteobacteria	EG	of the drug metabolite transporter (DMT) superfamily	yedA	GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0008150,GO:0016020,GO:0022857,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071944	-	-	-	-	-	-	-	-	-	-	EamA
lrpC	321846.PS417_24510	9.83e-101	292.0	COG1522@1|root,COG1522@2|Bacteria,1RHW5@1224|Proteobacteria,1S9VS@1236|Gammaproteobacteria	1236|Gammaproteobacteria	K	AsnC family transcriptional regulator	-	-	-	ko:K03719	-	-	-	-	ko00000,ko03000,ko03036	-	-	-	AsnC_trans_reg,HTH_AsnC-type
polC_1	321846.PS417_24520	2.16e-142	402.0	COG0847@1|root,COG0847@2|Bacteria,1R4X8@1224|Proteobacteria,1T34Q@1236|Gammaproteobacteria	1236|Gammaproteobacteria	L	dna polymerase III	-	-	2.7.7.7	ko:K02342	ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440	M00260	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko00002,ko01000,ko03032,ko03400	-	-	-	RNase_T
33931E_Pfluorescens55_05012	321846.PS417_24525	1.01e-109	315.0	COG1432@1|root,COG1432@2|Bacteria,1MUAE@1224|Proteobacteria,1S47Z@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Nuclease	-	-	-	-	-	-	-	-	-	-	-	-	NYN
33931E_Pfluorescens55_05013	321846.PS417_24530	1.45e-153	433.0	COG3416@1|root,COG3416@2|Bacteria,1N4J0@1224|Proteobacteria	1224|Proteobacteria	S	Protein conserved in bacteria	-	-	-	ko:K09945	-	-	-	-	ko00000	-	-	-	DUF2076
33931E_Pfluorescens55_05014	321846.PS417_24535	3.42e-150	423.0	2ETQP@1|root,33M8C@2|Bacteria,1QX2A@1224|Proteobacteria,1T34R@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Membrane	-	-	-	-	-	-	-	-	-	-	-	-	UPF0259
33931E_Pfluorescens55_05015	321846.PS417_24540	3.45e-264	723.0	COG3568@1|root,COG3568@2|Bacteria,1RJX3@1224|Proteobacteria,1S7J9@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	endonuclease	-	-	-	-	-	-	-	-	-	-	-	-	Exo_endo_phos
hyi_2	321846.PS417_24545	1.57e-181	504.0	COG3622@1|root,COG3622@2|Bacteria,1MV53@1224|Proteobacteria,1RQF9@1236|Gammaproteobacteria	1236|Gammaproteobacteria	G	Belongs to the hyi family	-	-	5.3.1.35	ko:K22131	-	-	-	-	ko00000,ko01000	-	-	-	AP_endonuc_2
33931E_Pfluorescens55_05017	321846.PS417_24550	0.0	1547.0	COG1643@1|root,COG1643@2|Bacteria,1MUEQ@1224|Proteobacteria,1RR1B@1236|Gammaproteobacteria	1236|Gammaproteobacteria	L	ATP-dependent helicase	hrpB	-	3.6.4.13	ko:K03579	-	-	-	-	ko00000,ko01000	-	-	-	DEAD,HA2,Helicase_C,HrpB_C
33931E_Pfluorescens55_05018	321846.PS417_24555	5.91e-93	271.0	2C4GG@1|root,331DQ@2|Bacteria,1N7QC@1224|Proteobacteria,1SCI3@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Polyribonucleotide nucleotidyltransferase	-	-	-	-	-	-	-	-	-	-	-	-	-
fieF	321846.PS417_24560	6.45e-209	578.0	COG0053@1|root,COG0053@2|Bacteria,1MUDS@1224|Proteobacteria,1RNS2@1236|Gammaproteobacteria	1236|Gammaproteobacteria	P	Belongs to the cation diffusion facilitator (CDF) transporter (TC 2.A.4) family	fieF	GO:0000041,GO:0003674,GO:0005215,GO:0005381,GO:0005385,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006826,GO:0006829,GO:0006873,GO:0006875,GO:0006876,GO:0006882,GO:0008150,GO:0008324,GO:0009987,GO:0015075,GO:0015086,GO:0015093,GO:0015291,GO:0015318,GO:0015341,GO:0015562,GO:0015684,GO:0015691,GO:0016020,GO:0019725,GO:0022804,GO:0022857,GO:0022883,GO:0022890,GO:0030001,GO:0030003,GO:0034220,GO:0034755,GO:0042592,GO:0042802,GO:0044464,GO:0046583,GO:0046873,GO:0046915,GO:0046916,GO:0048878,GO:0050801,GO:0051179,GO:0051234,GO:0055065,GO:0055069,GO:0055073,GO:0055076,GO:0055080,GO:0055082,GO:0055085,GO:0065007,GO:0065008,GO:0070574,GO:0070838,GO:0071577,GO:0071944,GO:0072503,GO:0072507,GO:0072509,GO:0072511,GO:0098655,GO:0098660,GO:0098662,GO:0098771,GO:1903874	-	ko:K13283	-	-	-	-	ko00000,ko02000	2.A.4.7.1	-	-	Cation_efflux,ZT_dimer
33931E_Pfluorescens55_05020	321846.PS417_24565	5.67e-208	580.0	COG3103@1|root,COG3103@2|Bacteria,1NC3E@1224|Proteobacteria	1224|Proteobacteria	T	Sh3 type 3 domain protein	-	-	-	-	-	-	-	-	-	-	-	-	SH3_3
lrp_4	1117958.PE143B_0100750	5.2e-108	311.0	COG1522@1|root,COG1522@2|Bacteria,1MX7R@1224|Proteobacteria,1RPGA@1236|Gammaproteobacteria	1236|Gammaproteobacteria	K	Transcriptional regulator	lrp_2	-	-	ko:K03719	-	-	-	-	ko00000,ko03000,ko03036	-	-	-	AsnC_trans_reg,HTH_24
